product_id,sku,name,packaging_type,unit_container_type
673,CSB-0KC-NDW,D-Limonene Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
676,5V2-4EG-MS8,D-Limonene Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
677,V5U-3FF-YE4,D-Limonene USP Grade - 220 Gallons (4 x 55 Gallon Drums),Pallets_48x40,Drums
679,BC-UCP5-4E9S,D-Limonene USP Grade - 55 Gallon Drum,Pallets_48x40,Drums
681,OTIO-MMPS-ALOX,Dura Kote Mold Release - 55 Gallon Drum,Pallets_48x40,Drums
685,W2T-VAE-PWK,EpiKure 3383 - 55 Gallon Drum,Pallets_48x40,Drums
686,XBCF-FEBF-QFAX,Ethacure 100 - 55 Gallon Drum,Pallets_48x40,Drums
687,CLA-W52-P8M,Ethyl Acetate - 4 x 55 Gallon Drums,Pallets_48x40,Drums
688,DX-GA5K-CWWI,Ethyl Acetate - 55 Gallon Drum,Pallets_48x40,Drums
693,952-6ZW-ZSE,Ethyl Acetate ACS - 4 x 55 Gallon Drums,Pallets_48x40,Drums
695,FQT-324-ANJ,Ethyl Acetate ACS - 55 Gallon Drum,Pallets_48x40,Drums
698,TCF-98A-8ZF,Ethylene Glycol 50/50 - 4 x 55 Gallon Drums,Pallets_48x40,Drums
700,4S2-7U9-VR7,Ethylene Glycol 60/40 - 4 x 55 Gallon Drums,Pallets_48x40,Drums
703,NDF-PQG-L8P,Ethylene Glycol ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
705,U0C-0DG-6S4,Ethylene Glycol ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
709,4NU-L0F-BAT,Ethylene Glycol Inhibited - ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
711,8HM-6SL-Y9B,Ethylene Glycol Inhibited - ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
712,YVB-DTL-BAP,Ethylene Glycol Semiconductor Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
