SKU,Name
35R-LCC-LDF,Phosphoric Acid 85% ACS - 5 Gallon
36W-3VG-ERP,Sodium Hydroxide Flakes ACS Grade - 4LB - 2 Pack Can
374-BQ3-5M9,Boric Acid ACS Grade - 12 KG Container
38C-3YK-8VC,Nitric Acid 20% - 4 Liter Case
3AL-TJE-PUV,Ethylene Glycol Semiconductor Grade - 55 Gallon
3BS-HDF-V4C,Methyl Isobutyl Ketone ACS - 1 Quart Glass BT
3C6-RY2-ZDT,10% Vinegar - 1 Quart w/ Spray
3D-N92Z-0N95,Methanol - Technical Grade - 1 Gallon - (4) Quarts
3EC-C93-AMS,Nitric Acid 25% - 4 Liter Case
3EC-MMH-2L9,Hydrogen Peroxide 25% ACS Grade - 8 Quarts
3EW-3XN-W12,Lusterless Epoxy Component A  - 75 Gallon Can
3F9-AY3-C72,Kerosene - 1 Quart
3FD-MMH-3L0,Hydrogen Peroxide 5% ACS Grade - 1 Quart
3FR-84A-3X2,Trisodium Phosphate Dodecahydrate - ACS Reagent Grade - 4 Pack (8 lbs)
3FW-5F2-YYV,"Potassium Bicarbonate, FCC USP Grade - 16 Pack (32 LB)"
3H-NYYG-FYQ8,Boric Acid Powder 99% ACS Grade - 5 lb
3J-J4Y3-Q7IU,Sodium Hypochlorite 5.25% - 4 Gallon Case
3LS-TU7-SJC,Hydrochloric Acid 15% Technical Grade - 15 Gallon
3MH-7KX-D3N,Ethylene Glycol 60/40 - 1 Quart
3NE-CK7-PUC,Nitric Acid 5% - 3 Pack (1 Liter Bottles)
3PC-S5U-T1L,Magnesium Hydroxide ACS Grade - 4 Pack (8 lbs)
3QF-RQZ-9SA,Methyl Isobutyl Ketone (MIBK) Technical Grade - 4 Gallons x 36 Cases on Pallet
3R-ILK4-654I,"50% Vinegar - 1 Quart - Concentrated Industrial Strength For Cleaning, Agriculature, and More."
3ST-MJW-XX3,Boric Acid - Technical Grade - 4 lbs
3UB-GHU-J8P,Sodium Bisulfite 40% - 275 Gallon
3VN-PB8-N1C,N-Butyl Acetate - 4 Gallons x 36 Cases
3WD-NWV-XFG,Sodium Hypochlorite 5.25% - 275 Gallon
3WS-5VF-KSB,Epon™ Resin 828 - 55 Gallon
3Y5-2XC-9AD,Monoethanolamine (MEA) ACS Grade - 4 Gallon Case
3Y9-0PH-V7T,Acetic Acid Glacial 99% ACS Grade - 2 Quarts
3YY-N96-A2T,Propylene Glycol Technical Grade - 1 Gallon
3ZN-AWA-PR1,Citric Acid 50% Solution - 1 Quart
3ZN-AWA-PR1-1,Citric Acid 25% Solution - 1 Quart
40K-ASH-RJJ,Petroleum Ether Technical Grade - 1 Liter Bottle
412-KQP-1U4,Sodium Hydroxide 50% Solution ACS Grade - 4 Quart
44-YG7N-DW79,Sodium Hypochlorite 5.25% - Water Treatment Grade - 15 Gallon Carboy
45D-9ZH-44C,Isopropyl Alcohol 99% Technical Grade - 1 Pint Bottle
478-TFE-M5N,"Sodium Phosphate, Tribasic, Anhydrous, Technical Grade - 1 LB Bottle"
48C-UKC-S4G,FlameXcel - Dual Power Fuel - 1 Quart
4AU-0CS-0KF,Denatured Alcohol 200 Proof 3A - 1 Quart PVC Glass Bottle
4BA-PLF-LRR,Epon™ Resin 828 - 4 Gallon
4BW-FXP-ZLS,Acetone Technical Grade - 2 Quart
4CL-KGP-3NJ,Vinegar 75% ACS Grade - 2 Quart Bottles
4D-0ONV-8LRN,Sodium Bisulfite 40% - 1 Gallon - 4 Quarts
4D6-8P6-UJG,Petroleum Ether ACS Reagent Grade - 2 Liters
4EX-06E-763,Hydrogen Peroxide 25% Technical Grade - 4 Gallons x 36 Cases Pallet
4JD-ME7-4WG,Ammonium Hydroxide 29% - 5 Pint Glass BT
4K3-4L7-B7A,Nitric Acid 25% - 3 Pack (1 Liter Bottles)
4KU-R8Y-8AR,Ethylene Glycol ACS Grade - 1 Quart Bottle
4MZ-B43-KZ6,D-Limonene Technical Grade - 1 Gallon Can
4NB-Q3S-SZU,Hydrogen Peroxide 12% ACS Grade - 4 Gallons x 36 Cases
4NC-Q1T-SKU,Hydrogen Peroxide 30% Technical - 4 Gallons x 36 Cases
4NC-Q1T-SKV,Hydrogen Peroxide 5% Technical Grade - 4 Gallons x 36 Cases
4ND-Q4T-SKM,Hydrogen Peroxide 25% ACS Grade - 4 Gallon Case
4NE-Q5T-SLN,Hydrogen Peroxide 5% ACS Grade - 2 Quarts
4PM-JGW-TY7,Multifak Ep2 - 1 Cartridge (CA)
4PY-G7K-PYE,Ethylene Glycol 60/40 - 1 Gallon
4S7-Q0X-M1A,Sulfuric Acid 50% Electrolyte Grade - 5 Gallon
4T6-QXS-U9E,Sodium Hydroxide 50% Solution ACS Grade - 15 Gallon Carboy
4TE-FH9-JHV,Cool-Tool II Tapping Fluid - 4 oz Bottle
4U2-PEH-37Z,Oxalic Acid ACS  - 4 Pack (8 LB)
4U3-8LW-Y33,"Ammonium Nitrate, Prill - 500 Gram BT"
4V-S80D-JIYG,32 Fl Oz Plastic Spray Bottle - 4 Pack
4W3-UHX-HZM,Methanol ACS Reagent Grade - 275 Gallon
4YU-W5T-M4X,Hydrogen Peroxide 6% ACS Grade - 4 Gallon Case
51-PTZ9-9JSG,Propylene Glycol USP Grade - 1 Gallon
52D-TDK-GKW,Boric Acid - Technical Grade - Full Pallet - Bulk 2200 Pounds - 50 Pound Bags - 44 x 50 Pound Bags
543-SE4-LKD,Blend 1 Lacquer Thinner (Gun Cleaner) - 5 Gallon
547-551-1H8,Sulfuric Acid 50% Electrolyte Grade - 15 Gallon
557-ZTX-TZ9,"Nitric Acid 69%, LP Grade - 6 X 2.5 Liter  (7 LB) Bottles / Case"
55-AV4B-WPET,Potassium Hydroxide Flakes 99% - KOH - 8 lbs - 4  (2LB) Canister Pack
55G-3T9-R6J,Glycol Ether EE - 4 Gallon Case
55Y-9VP-5J2,Citric Acid Monohydrate - 4LB - 2 Pack
55Z-WMZ-DH5,60/40 Methanol/ DI Water Solution - 15 Gallon Carboy
56J-J4A-C85,A-A-59601E Type III ACS Grade - 2 Quart Bottles
58S-5H9-PLS,Cyanuric Acid  - 50lb Bag
5BE-RR9-9UU,Vinegar 75% ACS Grade - 8 Quart Bottles
5BQ-LJJ-YXH,Hydrochloric Acid 37% (HCL 37%) - Technical Grade - 4 Gallon Case
5CM-ATU-S5P,Caustic Soda 20% Diaphragm Grade - 15 Gallon Poly Carboy
5EN-EP6-V2L,Ease Release 200 - 14 oz Aerosol Can
5F9-RP3-J2C,Kerosene - 2 Quarts
5G8-B0H-X88,n-Heptane 99% Technical - 1 Quart Bottle
5G-X3G4-IIBY,Urea - Organic Nitrogen - 5 LB
5HE-MMT-DJP,Industrial Talc Powder - 16 LB (8 Pack)
