description,hazardous,hazardId,packingGroup
"flammable liquids, noi,  n-propanol propyl alcohol, normal",TRUE,UN1274,2
"flammable liquids, noi, acetic acid glacial 100%",TRUE,UN2789,2
"flammable liquids, noi, butyl acetates",TRUE,UN1123,3
"flammable liquids, noi, cyclohexanone",TRUE,UN1915,3
"flammable liquids, noi, denatured ethyl alcohol 200 proof, n.o.s",,,
"flammable liquids, noi, ethyl acetate",TRUE,UN1173,2
"flammable liquids, noi, isopropanol",TRUE,UN1219,2
"flammable liquids, noi, isopropanol 91%",TRUE,UN1219,2
"flammable liquids, noi, isopropanol 91% usp grade",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol  99%",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol  99.9%",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol  99.9%, acs grade,",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol 70%",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol 70% usp grade",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol 99%",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol 99% technical grade",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol 99.9%",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol 99.9%  acs grade,",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol 99.9%  acs reagent grade",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol acs grade,",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol acs,",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol acs, reagent",TRUE,UN1219,2
"flammable liquids, noi, isopropanol, alcohol grade",TRUE,UN1219,2
"flammable liquids, noi, isopropryl alcohol",TRUE,UN1219,2
"flammable liquids, noi, isopropryl alcohol 99%",TRUE,UN1219,2
"flammable liquids, noi, isopropryl alcohol 99% technical grade",TRUE,UN1219,2
"flammable liquids, noi, isopropyl acetate",TRUE,UN1220,2
"flammable liquids, noi, isopropyl alcohol semiconductor",TRUE,UN1219,2
"flammable liquids, noi, isopropyl alcohol, technical",TRUE,UN1219,2
"flammable liquids, noi, isopropyl alcohol, technical grade",TRUE,UN1219,2
"flammable liquids, noi, ketones, liquid, n.o.s.",TRUE,UN1224,2
"flammable liquids, noi, methyl ethyl ketone, in bulk in drums",TRUE,UN1193,2
"flammable liquids, noi, methanol",TRUE,UN1230,2
"flammable liquids, noi, methanol acs regent grade",TRUE,UN1230,2
"flammable liquids, noi, methanol technical grade",TRUE,UN1230,2
"flammable liquids, noi, methyl  ethyl ketone,",TRUE,UN1193,2
"flammable liquids, noi, methyl isobutyl ketone",TRUE,UN1245,2
"flammable liquids, noi, methyl propyl ketone",TRUE,UN1249,2
"flammable liquids, noi, methyl n-amyl ketone",TRUE,UN1110,3
"flammable liquids, noi, octanes, isooctane reference fuel",TRUE,UN1262,2
"flammable liquids, noi, petroleum ether",TRUE,UN1268,1
"flammable liquids, noi, trichloroethylene",TRUE,UN1710,3
"flammable liquids, noi, terpene hydrocarbons, n.o.s.",TRUE,UN2319,3
"flammable liquids, noi, tert butyl acetate",TRUE,UN1123,2
"flammable liquids, noi, toluene",TRUE,UN1298,2
"flammable liquids, noi, toluene, 3 pg ii",TRUE,UN1294,2
"flammable liquids, noi, xylene",TRUE,UN1307,3
"flammable liquids, noi, xylene",TRUE,UN1307,2
"flammable liquids, noi, xylene",TRUE,UN1307,3
"flammable liquids, noi, xylene",TRUE,UN1307,2
